,age,anagrams1,anagrams2,anagrams3,anagrams4,backcount1,backcount2,backcount3,backcount4,backcount5,backcount6,backcount7,backcount8,backcount9,backcount10,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,elm_01,elm_02,elm_03,elm_04,elm_05,gender,highpower,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04
22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,18,5,4,2,2,1,1,1,1,1,1,1,1,1,1,6.0,2.0,7.0,5.0,7.0,5.0,6.0,3.0,5.0,2.0,9.0,9.0,8.0,7.0,8.0,1,"[-0.04074684  0.01424912 -0.01587963 -0.11485062  0.01623579  0.01313695
 -0.01949083  0.01685917  0.01512205 -0.02672748]",4.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,5.0,1.0,3.0,3.0,3.0,2.0,5.0,4.0,1.0,1.0,3.0,6.0,2.0,4.0,4.0,2.0
24,18,5,4,3,0,1,0,1,1,1,1,0,0,0,0,5.0,3.0,6.0,5.0,5.0,4.0,5.0,1.0,4.0,4.0,7.0,6.0,5.0,6.0,6.0,1,,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,5.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0
25,20,,,,,1,0,1,1,1,1,1,1,1,0,4.0,3.0,6.0,6.0,5.0,6.0,6.0,2.0,3.0,3.0,7.0,7.0,8.0,7.0,9.0,1,"[-0.02901103 -0.02512454 -0.02928312 -0.11565556 -0.0696245   0.00752782
 -0.0639431   0.02177917  0.02270824 -0.07081567]",2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,2.0,5.0,3.0,4.0,4.0,3.0
26,18,5,,,,1,1,1,1,1,1,1,1,1,1,5.0,5.0,6.0,5.0,3.0,3.0,5.0,2.0,4.0,2.0,5.0,6.0,6.0,7.0,6.0,1,"[-0.07057526 -0.002582    0.01371945 -0.14512786 -0.00725681  0.05702021
 -0.02414329  0.05324474  0.06439821 -0.0032639 ]",2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,4.0,3.0,3.0,4.0
27,18,5,,,,1,1,1,1,1,1,1,1,1,1,2.0,4.0,6.0,7.0,5.0,5.0,6.0,5.0,2.0,1.0,9.0,6.0,7.0,7.0,9.0,1,,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,2.0,5.0,4.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0
28,19,5,,4,,1,1,1,1,1,1,1,1,1,1,5.0,4.0,6.0,6.0,3.0,7.0,7.0,1.0,3.0,1.0,9.0,8.0,9.0,8.0,9.0,1,,1.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,5.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,5.0
29,18,4,4,4,3,1,1,1,1,1,1,1,1,1,1,4.0,5.0,5.0,3.0,6.0,5.0,6.0,4.0,3.0,5.0,6.0,7.0,3.0,7.0,7.0,16,"[-0.06847206 -0.07311971  0.01607637 -0.09957062 -0.01756831  0.02283038
  0.07420585 -0.03090548  0.00683661 -0.00265631]",3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,5.0,1.0,1.0,1.0,5.0,2.0,4.0,4.0,3.0
30,18,,,,,1,1,1,1,1,1,1,1,1,1,6.0,5.0,6.0,5.0,7.0,3.0,6.0,5.0,6.0,2.0,7.0,7.0,8.0,8.0,9.0,1,"[-0.06698861  0.00108196 -0.00644089 -0.13305841 -0.02355546  0.01244679
 -0.01678734  0.00451794  0.04796238 -0.01231412]",3.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,5.0,3.0,3.0,4.0,4.0
31,18,5,2,2,2,1,1,1,1,1,1,1,1,1,1,4.0,5.0,6.0,5.0,5.0,5.0,6.0,1.0,2.0,4.0,6.0,5.0,5.0,5.0,6.0,2,,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,7.0,7.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,4.0
