j,L_MOM,L_MLE,MSE_MOM,MSE_MLE,MSE_MOM_T,MSE_MLE_T
145,10.699865183891184,9.88167321934649,0.48981127562304083,0.01400122701982376,0.3333333333333333,0.31391962725684336
146,10.841489672319035,9.931561142404572,0.7081048686195973,0.0046838772289672734,0.3333333333333333,0.31391962725684336
147,9.772650453102521,9.81451414585492,0.05168781647448885,0.034405002087929855,0.3333333333333333,0.31391962725684336
148,9.892189249861492,9.925413032879645,0.011623157845427886,0.005563215664212977,0.3333333333333333,0.31391962725684336
149,9.54213323313893,9.87238198053815,0.2096419761958093,0.016286358891365333,0.3333333333333333,0.31391962725684336
150,9.936438384273352,9.9110647075413,0.004040078993782106,0.007909486244714525,0.3333333333333333,0.31391962725684336
151,11.46976837536177,9.868088891831947,2.160219077213578,0.01740054045812374,0.3333333333333333,0.31391962725684336
152,10.03203003292575,9.884695983388752,0.0010259230092246232,0.013295016246686853,0.3333333333333333,0.31391962725684336
153,9.767614444594795,9.867400027247132,0.054003046360985706,0.017582752774061204,0.3333333333333333,0.31391962725684336
154,9.875906398423945,9.951868667979891,0.015399221952116675,0.0023166251220299587,0.3333333333333333,0.31391962725684336
155,10.905467622884464,9.918153848074953,0.8198716160920415,0.006698792584937923,0.3333333333333333,0.31391962725684336
156,10.666396325158809,9.82440632185033,0.44408406218516505,0.030833139806130158,0.3333333333333333,0.31391962725684336
157,9.817115448935688,9.987922772922339,0.033446759017994945,0.00014585941388539373,0.3333333333333333,0.31391962725684336
158,9.994580599888545,9.773116473448631,2.9369897568037594e-05,0.05147613462038562,0.3333333333333333,0.31391962725684336
159,10.430011306996926,9.981132624982244,0.18490972414520457,0.0003559778400606321,0.3333333333333333,0.31391962725684336
160,10.426235644527527,9.995027456090714,0.18167682466579602,2.4726192929777606e-05,0.3333333333333333,0.31391962725684336
161,11.000086569727353,9.923103253340596,1.0001731469490234,0.005913109646800584,0.3333333333333333,0.31391962725684336
162,10.57840885919267,9.895223056066701,0.3345568083925664,0.010978207980001648,0.3333333333333333,0.31391962725684336
163,10.28898793920702,9.846065575892816,0.08351402900712043,0.023695806925210543,0.3333333333333333,0.31391962725684336
164,10.760360512944803,9.8842781603716,0.5781481096456846,0.013391544166980998,0.3333333333333333,0.31391962725684336
165,9.78689227268033,9.942577281353172,0.04541490344335491,0.0032973686167927833,0.3333333333333333,0.31391962725684336
166,10.17669880908362,9.957905240955947,0.031222469131569477,0.0017719687389768837,0.3333333333333333,0.31391962725684336
167,8.758214198675466,9.95611806735653,1.542031976371215,0.0019256240125261025,0.3333333333333333,0.31391962725684336
168,10.623728987101904,9.8961457622041,0.3890378493511672,0.01078570270816743,0.3333333333333333,0.31391962725684336
169,10.118242550448109,9.846121549347265,0.013981300736473561,0.023678577575286297,0.3333333333333333,0.31391962725684336
170,9.94167138444082,9.951633165732014,0.003402227393050616,0.0023393506571068186,0.3333333333333333,0.31391962725684336
171,10.509733263547682,9.825328245248365,0.25982799996697076,0.030510221908015476,0.3333333333333333,0.31391962725684336
172,9.714076094990954,9.901938333903962,0.08175247945562188,0.009616090357530903,0.3333333333333333,0.31391962725684336
173,9.408316616292769,9.781943439826469,0.35008922655523844,0.0475486634347129,0.3333333333333333,0.31391962725684336
174,9.279946503660861,9.914164990008635,0.5184770375902181,0.007367648940217798,0.3333333333333333,0.31391962725684336
175,10.443984489162624,9.986086522567172,0.1971222266169959,0.00019358485427381413,0.3333333333333333,0.31391962725684336
176,10.065800550124088,9.936329841924795,0.004329712396632606,0.0040538890293215415,0.3333333333333333,0.31391962725684336
177,10.746073384109025,9.982755740864848,0.5566254944758922,0.00029736447312028226,0.3333333333333333,0.31391962725684336
178,10.068235564846894,9.94472951393318,0.004656092309974703,0.0030548266300626237,0.3333333333333333,0.31391962725684336
179,10.182547540885903,9.731489075607499,0.033323604683490334,0.07209811651811551,0.3333333333333333,0.31391962725684336
180,10.825583188141472,9.891187269991367,0.6815876005418374,0.011840210211931759,0.3333333333333333,0.31391962725684336
181,10.389947508321303,9.868278144054017,0.1520590592459924,0.017350647333854344,0.3333333333333333,0.31391962725684336
182,10.842162648075492,9.69894563151075,0.709237925813525,0.09063373278646135,0.3333333333333333,0.31391962725684336
183,9.676338841943643,9.944780846670593,0.10475654523438202,0.0030491548944165687,0.3333333333333333,0.31391962725684336
184,10.190061313525257,9.834483851503467,0.03612330289894617,0.02739559541312624,0.3333333333333333,0.31391962725684336
185,8.481339316486215,9.964124550710155,2.3063302716505563,0.001287047861748255,0.3333333333333333,0.31391962725684336
186,10.567747278992238,9.993684318262094,0.3223369728030901,3.988783581451905e-05,0.3333333333333333,0.31391962725684336
187,10.608118144611778,9.907805166776717,0.3698076778060711,0.008499887273069036,0.3333333333333333,0.31391962725684336
188,10.003481417331303,9.969616483432324,1.2120266634694773e-05,0.0009231580790182564,0.3333333333333333,0.31391962725684336
189,11.057393506011309,9.97214823655607,1.1180810265548875,0.0007757207269366559,0.3333333333333333,0.31391962725684336
190,10.33343203039324,9.811962863041337,0.11117691889215858,0.03535796487561085,0.3333333333333333,0.31391962725684336
191,10.340084310738948,9.992623279904102,0.11565733841078561,5.441599937322971e-05,0.3333333333333333,0.31391962725684336
192,10.034513875974818,9.949373955869756,0.001191207634805152,0.0025629963442773867,0.3333333333333333,0.31391962725684336
193,9.94529236476345,9.824034623451823,0.002992925353175417,0.0309638137437418,0.3333333333333333,0.31391962725684336
194,9.391567448118737,9.990453444102064,0.3701901701887458,9.113672951241586e-05,0.3333333333333333,0.31391962725684336
