,0,1,2,3,4,5,6,7,8,9
academic,-0.6336642089812581,0.27524841483533524,0.4006023883486475,0.2647522344810715,0.24608058534346006,-0.8402299875585348,0.11185721994471465,-0.35943766618441164,0.09875679588286684,0.8977005963319039
academically,-0.4656318246669653,-0.49510526529289084,-0.05427777566771408,-0.17612152626113642,-0.6639617688549807,0.45575397002067014,-0.06068121967342477,0.6865461304377543,-0.023184059765053625,0.14364191691775277
academics,-0.4314983406654069,-0.23937895523124691,0.25177104411232165,0.24592065454323925,0.3113716828610137,0.8349076689679147,0.6567643417303495,0.0256114528337818,-0.6890662448204113,-0.03305935962567472
academys,0.17838009734854804,0.4955996215117876,-0.22466237658497443,-0.6770350825082948,-0.0017805967205431483,-0.6468465551527914,0.06756208661428972,-0.39955009849382284,-0.2385945306001348,-0.20545779536105865
accelerated,-0.11236510402292366,-0.004057587106950505,-0.2644918482286546,-0.20929172493291792,0.040395986661788785,-0.23362087157258146,-0.05255043935787407,-0.0880345791605541,0.734793697955978,0.8516131748410547
accept,0.4531794193514238,-0.5095036983941457,0.07115777952503927,0.3187317878507029,-0.10130253882384443,-0.6617707411672706,-0.049647909962379055,0.25518712081256917,-0.1651628195036501,-0.11428185668680613
accepted,-0.1474867872308515,0.1083908873614145,0.1433954641174393,0.10740283075232337,-0.4575586053819701,0.28312348393348974,-0.07361647092552354,-0.6738254865498,0.18990344019011446,-0.3180489531926372
accepting,-0.09003883699448201,-0.01134973984193599,0.06655924923578549,-0.12138795364688279,0.0550802762037606,0.03103164798904246,0.3107732136858693,0.020827258616833707,0.05759360666053141,-0.004527209069646848
access,-0.10271320464741171,-0.23453848441642844,-0.07818607892936019,-0.3335900575208548,0.6837129009999634,-0.596400344740574,0.08872022534237875,-0.25168467784580656,0.135149733744771,-0.36348245844315674
accident,-0.22312929004036114,-0.2701247102108423,-0.7068060053648858,-0.12739347635273768,-0.12115294388474249,0.18183692961750886,-0.7227451198345577,0.06221875680435579,0.5421497089074311,0.444122512554458
accidentally,-0.08356512659169385,-0.4018539026720218,0.403707738461615,-0.05133006723280381,0.009437373216724887,-0.27388900715424713,-0.41847614425606866,0.2856714150664528,0.2292624663695691,0.16039531137151752
